TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-1992,24,30.1,26.4,78,6.4,2,3,120,0,SE
02-01-1992,25,28.2,26.9,78,0,0,3,300,1,W 
03-01-1992,24,30.2,26.3,83,0.5,0,3,320,1,NW
04-01-1992,23,30.6,25.9,84,8888,1.6,7,120,1,NW
05-01-1992,25,31.8,27.5,78,4.4,1.8,3,360,0,NW
06-01-1992,26,31.6,28.3,74,0,4,4,350,1,N 
07-01-1992,24,31.6,28.2,74,0,2,8,280,2,W 
08-01-1992,25,31.8,27.6,78,11.7,3,4,320,1,NW
09-01-1992,24,32,27.2,80,0,4.5,6,300,2,NW
10-01-1992,24,30.8,27.2,76,0,5,5,310,2,W 
11-01-1992,24,28.6,26.2,82,45.6,8,5,270,0,N 
12-01-1992,23,28.8,26.5,87,32.2,0,4,310,1,W 
13-01-1992,23,29,26.1,87,26,0,4,320,0,NW
14-01-1992,23,31.2,26.5,82,17.9,0,5,290,2,W 
15-01-1992,23,29.4,25.6,86,41.5,2.8,4,340,1,N 
16-01-1992,25,30.8,26.6,80,2.7,1,5,290,1,W 
17-01-1992,24,30.8,27.3,78,0,5.2,4,310,2,N 
18-01-1992,24,32.3,27.7,78,0,6,4,340,2,N 
19-01-1992,24,30.4,27.4,76,0,0.6,5,250,2,W 
20-01-1992,23,30.8,26.8,76,0,0.3,5,320,2,W 
21-01-1992,23,26,23.7,98,27.4,4.3,2,270,0,W 
22-01-1992,24,29.3,26.3,88,64,1.2,4,260,0,W 
23-01-1992,23,30.2,25.1,86,15.2,0,3,320,0,NW
24-01-1992,22,28.1,24.2,94,36.2,1.2,3,210,0,SW
25-01-1992,23,30.9,26.7,81,8.7,0,5,290,2,SW
26-01-1992,24,31.1,27.1,82,4.8,0,5,360,2,N 
27-01-1992,25,31.1,27.4,80,0,3.7,5,350,2,NW
28-01-1992,25,30.1,27.2,86,0,2.3,5,290,2,NW
29-01-1992,24,30.6,27.1,82,9.8,8,7,350,2,NW
30-01-1992,25,30.4,27.1,80,1.7,3.3,3,350,1,N 
31-01-1992,24,33.1,27.9,76,0,1.8,5,350,2,N 
01-02-1992,24,31.9,27.8,78,4.8,7.8,5,360,2,NW
02-02-1992,23,31.2,26.4,84,8888,1.2,5,330,2,W
03-02-1992,25,29,26.2,82,8888,0.3,4,320,2,NW
04-02-1992,24,28.2,26.5,85,54.1,0,3,300,1,NW
05-02-1992,25,31.6,27.3,77,0,0,5,340,2,NW
06-02-1992,24,30.6,26.7,88,20.4,6.8,2,350,0,N
07-02-1992,24,30,26.4,81,1.6,0.7,4,310,2,NW
08-02-1992,24,31.3,27.3,80,39.3,0,5,260,2,W
09-02-1992,23,30.4,26.3,85,0.9,2.8,3,280,2,W
10-02-1992,24,31.4,26.7,79,11.6,0,6,270,2,W
11-02-1992,25,31.7,27.7,79,0.2,0.8,3,300,2,W
12-02-1992,25,30.6,26.5,78,2.5,3.2,5,270,2,W
13-02-1992,25,32,28,74,0.4,1.7,4,290,2,W
14-02-1992,24,32.6,27.7,73,1.2,2.3,5,280,2,W
15-02-1992,24,32.9,28,76,0,2.3,6,240,2,W
16-02-1992,24,33.2,27.6,80,8888,7.3,4,300,2,W
17-02-1992,25,32.2,28.2,73,0,3.8,4,340,2,W
18-02-1992,25,32,27.1,76,1.3,4.2,5,320,2,W
19-02-1992,25,33.2,27.6,74,0.6,6,5,290,2,SW
20-02-1992,24,33.6,28.6,71,7.1,8,5,260,2,W
21-02-1992,24,30.1,26.2,85,12.5,4,8,260,2,W
22-02-1992,22,32.9,27.9,73,7.9,0.7,6,290,2,SW
23-02-1992,23,32.2,26.7,76,28,0,5,260,3,W
24-02-1992,22,29.6,26.6,80,10.1,2.3,4,360,3,W
25-02-1992,23,29.8,25.7,86,34.9,0,3,300,2,NW
26-02-1992,24,28.6,27,84,14.8,0.5,5,20,2,N
27-02-1992,24,30.2,26.6,87,27.7,0,3,350,0,NW
28-02-1992,25,29,26.5,85,6,0,4,210,0,SW
29-02-1992,26,32.9,27.8,78,32.6,0,5,280,2,W
01-03-1992,24,32.8,27.9,74,0,1,4,250,1,W
02-03-1992,24,32.7,28,76,0,2.7,4,270,2,W
03-03-1992,25,30.6,27.5,78,25.2,3.3,5,360,2,N
04-03-1992,25,31.9,28.8,75,0,6,5,360,2,N
05-03-1992,27,30.2,27.9,78,0.7,4.1,4,270,1,SW
06-03-1992,24,32.1,28.9,73,38.1,3,5,260,2,SW
07-03-1992,24,30,26.8,82,0,8,4,350,1,N
08-03-1992,25,31.2,27.1,80,0,4.3,4,310,3,W
09-03-1992,24,30.8,26.9,79,6.8,3.7,6,340,2,W
10-03-1992,24,29.7,26.3,85,16.3,7,3,340,1,N
11-03-1992,25,28.6,26.3,79,9.3,1.8,5,310,2,W
12-03-1992,23,32.4,28.5,72,1,3,4,330,2,W
13-03-1992,24,30.2,26.3,80,0.2,2.5,4,270,1,W
14-03-1992,24,31.5,26.9,80,15.8,2.7,4,290,2,W
15-03-1992,24,30.8,27.2,73,67.9,1.2,4,250,1,W
16-03-1992,23,31.2,26.5,81,8888,0,4,270,0,W
17-03-1992,25,31.9,27.4,79,0,3.3,4,270,2,N
